Customer ID,approved
C025020,y
C016967,y
C009578,y
C035269,y
C037540,y
C040561,y
C049410,y
C044460,y
C025123,y
C050094,y
C017598,y
C011808,y
C028194,y
C034199,y
C015985,y
C047500,y
C027388,y
C003037,y
C049304,y
C040762,y
C018270,y
C003617,y
C009575,y
C001721,y
C042166,y
C050154,y
C021262,y
C014703,y
C016220,y
C051461,y
C027009,y
C023594,y
C000158,y
C009344,y
C050279,y
C001372,y
C016458,y
C024339,y
C011806,y
C027385,y
C023847,y
C013532,y
C005842,y
C049787,y
C022315,y
C034572,y
C028459,y
C034209,y
C049778,y
C033887,y
C011697,n
C023467,n
C009967,n
C038343,n
C044585,n
C015587,n
C015766,n
C041049,n
C047388,n
C021244,n
C008045,n
C040231,n
C016381,n
C025185,n
C016965,n
C040948,n
C031888,n
C011709,n
C023630,n
C038498,n
C039080,n
C006576,n
C003112,n
C045848,n
C000480,n
C001522,n
C035676,n
C046790,n
C004225,n
C006167,n
C051302,n
C039899,n
C048209,n
C022039,n
C015831,n
C027705,n
C022012,n
C033136,n
C020205,n
C018535,n
C018771,n
C022664,n
C005443,n
C009833,y
C007822,y
C025345,y
C011599,y
C022003,y
C029926,y
C004552,y
C011117,y
C016193,y
C011800,y
C020430,y
C016848,y
C026737,y
C026510,y
C025883,y
C009563,y
C048923,y
C036465,y
C023580,y
C034214,y
C025431,y
C039917,y
C025959,y
C006111,y
C037331,y
C005425,y
C026171,y
C047988,y
C030988,y
C040700,y
C000731,y
C034703,y
C026181,y
C018932,y
C010787,y
C038184,y
C019297,y
C000153,y
C021364,y
C020897,y
C036177,y
C000066,y
C015809,y
C026442,y
C003880,y
C024714,y
C005808,y
C001391,y
C003155,y
C017628,y
C049022,y
C016481,y
C016140,y
C024883,y
C050705,y
C003049,y
C024504,y
C045845,y
C036044,y
C036878,y
C003646,y
C047045,y
C037491,y
C041352,y
C014612,y
C007479,y
C018432,y
C048856,y
C037748,y
C048386,y
C011889,y
C010284,y
C005786,y
C019612,y
C018392,y
C038395,y
C029166,y
C036770,y
C034013,y
C021349,y
C039083,y
C021644,y
C022612,y
C043933,y
C042319,y
C018379,y
C043806,y
C047264,y
C011023,y
C047159,y
C031596,y
C034109,y
C049595,y
C016612,y
C038595,y
C003369,y
C042684,y
C042894,y
C049637,y
C009125,y
C003692,y
C036798,y
C044002,y
C050955,y
C012723,y
C029994,y
C010668,y
C049732,y
C022797,y
C005509,y
C028118,y
C013235,y
C046297,y
C009321,y
C021934,y
C005825,y
C032934,y
C033273,y
C011137,y
C042312,y
C042274,y
C045202,y
C035399,y
C035202,y
C030114,y
C022959,y
C049962,y
C016388,y
C036619,y
C017791,y
C043612,y
C036352,y
C027583,y
C024191,y
C019897,y
C000206,y
C006552,y
C016196,y
C002263,y
C004079,n
C017005,n
C047020,n
C020172,n
C046672,n
C044664,n
C017971,n
C029185,n
C009614,n
C010887,n
C023017,n
C019578,n
C008615,n
C003807,y
C026381,y
C050210,n
C032676,n
C031846,n
C012896,n
C008226,n
C023101,n
C013590,n
C034128,n
C050032,n
C004573,n
C037252,n
C003539,n
C051397,n
C047207,n
C020826,n
C009663,n
C012392,n
C039684,n
C036186,n
C007854,n
C041944,n
C004291,n
C036516,n
C036071,n
C032268,n
C037670,n
C036639,n
C005111,n
C029161,n
C014261,n
C028815,n
C000210,n
C014518,n
C045016,n
C002018,n
C045656,n
C045233,n
C014253,n
C004309,n
C008152,n
C031939,n
C003748,n
C041712,n
C017728,n
C026334,n
C025833,y
C034239,y
C000977,y
C029521,y
C037452,y
C051211,y
C025565,y
C028319,n
C020061,n
C010822,n
C033734,n
C018934,n
C051371,n
C044362,n
C039327,n
C004732,n
C039263,n
C048756,n
C040121,n
C045354,n
C006079,n
C024915,n
C040996,n
C010329,n
C002825,n
C006999,n
C027433,n
C037287,n
C032251,n
C008906,n
C035230,n
C004710,n
C037378,n
C034618,n
C050168,n
C031127,n
C033906,n
C010305,n
C020799,n
C024133,n
C041108,n
C005510,n
C030117,n
C009816,n
C039850,n
C026626,n
C006581,n
C037788,n
C027149,n
C038206,n
C018991,n
C005249,n
C013993,n
C013964,n
C049174,n
C051113,n
C009800,n
C020512,n
C027455,n
C031838,n
C029247,n
C014850,n
C010593,n
C045012,n
C039228,n
C003476,n
C022990,n
C048650,n
C014331,n
C030229,n
C025963,n
C017815,n
C004353,n
C033716,n
C045358,n
C019576,n
C040809,n
C014542,n
C040728,n
C045599,n
C048790,n
C024579,n
C047203,n
C013913,n
C031599,n
C007568,n
C018635,n
C021539,n
C042562,n
C003549,n
C022887,n
C020304,n
C049551,n
C016580,n
C019549,n
C037087,n
C040341,n
C028717,n
C046538,n
C026831,n
C017295,n
C037584,n
C040429,n
C016858,n
C002382,n
C014563,n
C013583,n
C036306,n
C024865,n
C007173,n
C040525,n
C005992,n
C021914,n
C003223,n
C003173,n
C049115,n
C010998,n
C003952,n
C012688,n
C029054,n
C009079,n
C048394,n
C015498,n
C016380,n
C025631,n
C027857,n
C013945,n
C003762,n
C042146,n
C038020,n
C018136,n
C024179,n
C037029,n
C007731,n
C027258,n
C009296,n
C049836,n
C032844,n
C023919,n
C012242,n
C026280,n
C008018,n
C001442,n
C012129,n
C029125,n
C023221,n
C044032,n
C006938,y
C021989,y
C031437,y
C014833,y
C002038,y
C038191,y
C004361,y
C006631,y
C029594,y
C030974,y
C013224,y
C008698,y
C016261,y
C010469,y
C047391,y
C027562,y
C027830,y
C030338,y
C017445,y
C040327,y
C026519,y
C027078,y
C022998,y
C047575,y
C011388,y
C039008,y
C029948,y
C043461,y
C010142,y
C039018,y
C002458,y
C035940,n
C044888,n
C002131,n
C022916,n
C008023,n
C001059,n
C032808,n
C030387,n
C015632,n
C037602,n
C048221,n
C050951,n
C034757,n
C003116,n
C000263,n
C015387,n
C048353,n
C034164,n
C003699,n
C029748,n
C011247,n
C001945,n
C037737,n
C000518,n
C024706,y
C004872,y
C010832,y
C020189,y
C035178,y
C007994,y
C033374,y
C043411,y
C050552,y
C035459,y
C009236,y
C043924,y
C021340,y
C035720,y
C038071,y
C044737,y
C018174,y
C004060,y
C010805,y
C038018,y
C015438,y
C048763,y
C018650,y
C048898,y
C003835,y
C044320,y
C030372,y
C050560,y
C018449,y
C046558,y
C001350,y
C019793,y
C004124,y
C039267,y
C037971,y
C008178,y
C050510,y
C001983,y
C023371,y
C012727,y
C031236,y
C044162,y
C048106,y
C004953,y
C050912,y
C032343,y
C021896,y
C044087,y
C013619,y
C036193,y
C034524,y
C039526,y
C049417,y
C036241,n
C019416,n
C039431,n
C001654,n
C013780,n
C041187,y
C036554,n
C022783,n
C015308,n
C036253,n
C026240,n
C020303,n
C016595,n
C000590,n
C000415,n
C017351,n
C028438,n
C016545,n
C003090,n
C014469,y
C031659,n
C007641,n
C038264,n
C013525,n
C005803,n
C013522,n
C050075,n
C047839,n
C041506,n
C018699,n
C021966,n
C015711,n
C010682,n
C017550,n
C046042,n
C022859,n
C011189,n
C033860,n
C042291,n
C000375,n
C009097,n
C037338,n
C039290,n
C025794,n
C049894,n
C006888,n
C049729,n
C041380,n
C044763,n
C030186,n
C041143,n
C006382,n
C026327,n
C034868,n
C038122,n
C006721,n
C007838,n
C001431,n
C045397,n
C030270,n
C045458,n
C022035,n
C005796,n
C011994,n
C004333,n
C014125,n
C035129,n
C022322,n
C033342,n
C020548,n
C038450,n
C013746,n
C045204,n
C014014,n
C033732,n
C021089,n
C007191,n
C000618,n
C018109,n
C004718,n
C044877,n
C038894,n
C043206,n
C011111,n
C008655,n
C040152,n
C008262,n
C000953,n
C044333,n
C043971,n
